mod;cod;marca;clase;tipo1;tipo2;tipo3;peso;serv;valor02;valor03;valor04;valor05;valor06;valor07;valor08;valor09;valor10;valor11;valor12;valor13;valor14;valor15;valor16;valor17;valor18;valor19;um;importado;bcpp;pesokg;potencia
F;03417135;HONDA         ;MOTOCICLETA     ;CB             ;110            ;MT 110CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;    1400;    1600;    1800;    2000;    2200;    2400;    2700;    3000;    3300;    4000;T;F;    4600;  101;  9
F;03417137;HONDA         ;MOTOCICLETA     ;CB             ;150 INVICTA    ;MT 150CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;    2300;    2500;    2800;    3100;    3400;       0;       0;       0;       0;    5900;F;F;    6800;  138; 14
F;03417138;HONDA         ;MOTOCICLETA     ;SHADOW         ;VTX 1300C      ;MT 1300CC      ;1;1;       0;       0;       0;   17800;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   45900;F;T;   57400;  390; 72
F;03417142;HONDA         ;MOTOCICLETA     ;VT             ;600CD          ;MT 600CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   30000;F;T;   37500;  185; 43
F;03417148;HONDA         ;MOTOCICLETA     ;CBF [2]        ;150            ;MT 150CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    3300;    3600;    4000;    4400;       0;       0;    5300;F;F;    6100;  146; 13
F;03417149;HONDA         ;MOTOCICLETA     ;CB             ;1000 RACING    ;MT 1000CC      ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;   23000;   24700;       0;       0;   39900;       0;       0;       0;   42700;F;T;   53400;  217;129
F;03417153;HONDA         ;MOTOCICLETA     ;CB600F [2]     ;HORNET         ;MT 600CC ABS   ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   22200;       0;       0;       0;       0;       0;       0;   28700;F;T;   35900;  200;101
F;03417154;HONDA         ;MOTOCICLETA     ;INTERSTATE     ;VT1300CT       ;MT 1300CC      ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;   27700;       0;       0;       0;       0;       0;       0;       0;   43000;F;T;   53800;  323;  1
F;03417155;HONDA         ;MOTOCICLETA     ;CB600F [2]     ;HORNET         ;MT 600CC [100HP;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;   18500;   19900;       0;       0;       0;       0;       0;       0;   25000;F;T;   31300;  198;100
F;03417156;HONDA         ;MOTOCICLETA     ;NC [1]         ;700X           ;MT 700CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   21100;   22200;   23300;       0;       0;       0;       0;   27000;F;T;   33800;  218; 47
F;03417157;HONDA         ;MOTOCICLETA     ;CB             ;1              ;MT 125CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    2700;    3000;    3400;    3800;       0;       0;    4200;F;F;    4800;  111;  9
F;03417158;HONDA         ;MOTOCICLETA     ;VFR            ;1200X          ;MT 1200CC      ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   40800;   43800;   47000;       0;       0;       0;   50000;F;T;   62500;  275;127
F;03417159;HONDA         ;MOTOCICLETA     ;VT             ;1300CX FURY    ;MT 1300CC      ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;   28900;       0;       0;       0;       0;       0;       0;       0;       0;   46500;F;T;   58100;  300; 58
F;03417161;HONDA         ;MOTOCICLETA     ;NC [1]         ;750X           ;MT 750CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   23200;       0;       0;       0;       0;   27300;F;T;   34100;  218; 54
F;03417162;HONDA         ;MOTOCICLETA     ;CB             ;150 NUEVA INVIC;MT 150CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    3500;    3900;    4300;    4800;       0;    6200;F;F;    7100;  137; 14
F;03417164;HONDA         ;MOTOCICLETA     ;VFR            ;1200XD         ;TP 1200CC      ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   49800;       0;       0;   52000;       0;   52000;F;T;   65000;  285;127
F;03417165;HONDA         ;MOTOCICLETA     ;NC [1]         ;750X D         ;TP 750CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   27700;       0;   31300;       0;       0;   34000;F;T;   42500;  219; 54
F;03417169;HONDA         ;MOTOCICLETA     ;CB             ;125E POWER SPOR;MT 125CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;    3600;    3900;    4200;       0;       0;    4400;F;F;    5100;  129; 10
F;03417170;HONDA         ;MOTOCICLETA     ;CB             ;500X           ;MT 500CC       ;1;1;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;       0;   21600;   25100;   29100;       0;   32300;F;T;   40400;  196; 47
